participant_id,file_id,annotation_id,frame_start,frame_end,activity,chunk_id
1,vp1/run1b_2018-05-29-14-02-47.ids_1,0,0,90,fasten_seat_belt,0
1,vp1/run1b_2018-05-29-14-02-47.ids_1,0,90,180,fasten_seat_belt,1
1,vp1/run1b_2018-05-29-14-02-47.ids_1,0,180,270,fasten_seat_belt,2
1,vp1/run1b_2018-05-29-14-02-47.ids_1,0,270,360,fasten_seat_belt,3
1,vp1/run1b_2018-05-29-14-02-47.ids_1,0,360,450,fasten_seat_belt,4
1,vp1/run1b_2018-05-29-14-02-47.ids_1,0,450,516,fasten_seat_belt,5
1,vp1/run1b_2018-05-29-14-02-47.ids_1,1,5919,6009,hand_over,0
1,vp1/run1b_2018-05-29-14-02-47.ids_1,1,6009,6099,hand_over,1
1,vp1/run1b_2018-05-29-14-02-47.ids_1,1,6099,6189,hand_over,2
1,vp1/run1b_2018-05-29-14-02-47.ids_1,1,6189,6227,hand_over,3
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,6426,6516,work,0
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,6516,6606,work,1
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,6606,6696,work,2
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,6696,6786,work,3
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,6786,6876,work,4
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,6876,6966,work,5
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,6966,7056,work,6
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,7056,7146,work,7
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,7146,7236,work,8
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,7236,7326,work,9
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,7326,7416,work,10
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,7416,7506,work,11
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,7506,7596,work,12
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,7596,7686,work,13
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,7686,7776,work,14
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,7776,7866,work,15
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,7866,7956,work,16
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,7956,8046,work,17
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,8046,8136,work,18
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,8136,8226,work,19
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,8226,8316,work,20
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,8316,8406,work,21
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,8406,8496,work,22
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,8496,8586,work,23
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,8586,8676,work,24
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,8676,8766,work,25
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,8766,8856,work,26
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,8856,8946,work,27
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,8946,9036,work,28
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,9036,9126,work,29
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,9126,9216,work,30
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,9216,9306,work,31
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,9306,9396,work,32
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,9396,9486,work,33
