participant_id,file_id,annotation_id,frame_start,frame_end,activity,chunk_id
1,vp1/run1b_2018-05-29-14-02-47.ids_1,0,82,117,standing_by_the_door,0
1,vp1/run1b_2018-05-29-14-02-47.ids_1,1,117,166,closing_door_outside,0
1,vp1/run1b_2018-05-29-14-02-47.ids_1,2,168,205,standing_by_the_door,0
1,vp1/run1b_2018-05-29-14-02-47.ids_1,3,205,262,opening_door_outside,0
1,vp1/run1b_2018-05-29-14-02-47.ids_1,4,262,314,entering_car,0
1,vp1/run1b_2018-05-29-14-02-47.ids_1,5,314,348,closing_door_inside,0
1,vp1/run1b_2018-05-29-14-02-47.ids_1,6,348,438,fastening_seat_belt,0
1,vp1/run1b_2018-05-29-14-02-47.ids_1,6,438,458,fastening_seat_belt,1
1,vp1/run1b_2018-05-29-14-02-47.ids_1,7,459,529,using_multimedia_display,0
1,vp1/run1b_2018-05-29-14-02-47.ids_1,8,5921,5971,sitting_still,0
1,vp1/run1b_2018-05-29-14-02-47.ids_1,9,5971,6060,pressing_automation_button,0
1,vp1/run1b_2018-05-29-14-02-47.ids_1,10,6060,6150,sitting_still,0
1,vp1/run1b_2018-05-29-14-02-47.ids_1,10,6150,6177,sitting_still,1
1,vp1/run1b_2018-05-29-14-02-47.ids_1,11,6177,6259,using_multimedia_display,0
1,vp1/run1b_2018-05-29-14-02-47.ids_1,12,6259,6349,sitting_still,0
1,vp1/run1b_2018-05-29-14-02-47.ids_1,12,6349,6439,sitting_still,1
1,vp1/run1b_2018-05-29-14-02-47.ids_1,12,6439,6529,sitting_still,2
1,vp1/run1b_2018-05-29-14-02-47.ids_1,12,6529,6565,sitting_still,3
1,vp1/run1b_2018-05-29-14-02-47.ids_1,13,6565,6655,fetching_an_object,0
1,vp1/run1b_2018-05-29-14-02-47.ids_1,13,6655,6745,fetching_an_object,1
1,vp1/run1b_2018-05-29-14-02-47.ids_1,13,6745,6764,fetching_an_object,2
1,vp1/run1b_2018-05-29-14-02-47.ids_1,14,6768,6858,opening_laptop,0
1,vp1/run1b_2018-05-29-14-02-47.ids_1,14,6858,6931,opening_laptop,1
1,vp1/run1b_2018-05-29-14-02-47.ids_1,15,6937,7027,working_on_laptop,0
1,vp1/run1b_2018-05-29-14-02-47.ids_1,15,7027,7117,working_on_laptop,1
1,vp1/run1b_2018-05-29-14-02-47.ids_1,15,7117,7207,working_on_laptop,2
1,vp1/run1b_2018-05-29-14-02-47.ids_1,15,7207,7297,working_on_laptop,3
1,vp1/run1b_2018-05-29-14-02-47.ids_1,15,7297,7387,working_on_laptop,4
1,vp1/run1b_2018-05-29-14-02-47.ids_1,15,7387,7477,working_on_laptop,5
